7607483,17309,2023-05-03 08:33:00,,0000-00-00,0000-00-00
7607484,13563,2023-05-03 08:33:00,,0000-00-00,0000-00-00
7607485,15617,2023-05-03 08:36:00,,0000-00-00,0000-00-00
7607486,17961,2023-05-03 08:37:00,,0000-00-00,0000-00-00
7607487,52544,2023-05-03 08:38:00,,0000-00-00,0000-00-00
7607488,16156,2023-05-03 08:38:00,,0000-00-00,0000-00-00
7607489,18627,2023-05-03 08:39:00,,0000-00-00,0000-00-00
7607490,16473,2023-05-03 08:39:00,,0000-00-00,0000-00-00
7607491,12664,2023-05-03 08:39:00,,0000-00-00,0000-00-00
7607492,14672,2023-05-03 08:40:00,,0000-00-00,0000-00-00
7607493,378311,2023-05-03 08:40:00,,0000-00-00,0000-00-00
7607494,15347,2023-05-03 08:41:00,,0000-00-00,0000-00-00
7607495,14252,2023-05-03 08:41:00,,0000-00-00,0000-00-00
7607496,12575,2023-05-03 08:41:00,,0000-00-00,0000-00-00
7607497,83576,2023-05-03 08:41:00,,0000-00-00,0000-00-00
7607498,16974,2023-05-03 08:43:00,,0000-00-00,0000-00-00
7607499,145876,2023-05-03 08:43:00,,0000-00-00,0000-00-00
7607500,12591,2023-05-03 08:45:00,,0000-00-00,0000-00-00
7607501,5782,2023-05-03 08:45:00,,0000-00-00,0000-00-00
7607502,16241,2023-05-03 08:52:00,,0000-00-00,0000-00-00
7607503,10987,2023-05-03 09:01:00,,0000-00-00,0000-00-00
7607504,13918,2023-05-03 09:12:00,,0000-00-00,0000-00-00
7607505,13821,2023-05-03 09:44:00,,0000-00-00,0000-00-00
7607506,15347,2023-05-03 14:22:00,,0000-00-00,0000-00-00
7607507,19637,2023-05-03 14:34:00,,0000-00-00,0000-00-00
7607508,173971,2023-05-03 15:00:00,,0000-00-00,0000-00-00
7607509,271943,2023-05-03 15:20:00,,0000-00-00,0000-00-00
7607510,19837,2023-05-03 15:30:00,,0000-00-00,0000-00-00
7607511,52543,2023-05-03 15:30:00,,0000-00-00,0000-00-00
7607512,19272,2023-05-03 15:32:00,,0000-00-00,0000-00-00
7607513,13472,2023-05-03 15:32:00,,0000-00-00,0000-00-00
7607514,161735,2023-05-03 15:32:00,,0000-00-00,0000-00-00
7607515,209253,2023-05-03 15:33:00,,0000-00-00,0000-00-00
7607516,11625,2023-05-03 15:33:00,,0000-00-00,0000-00-00
7607517,13127,2023-05-03 15:34:00,,0000-00-00,0000-00-00
7607518,14873,2023-05-03 15:36:00,,0000-00-00,0000-00-00
7607519,16834,2023-05-03 15:38:00,,0000-00-00,0000-00-00
7607520,142962,2023-05-03 15:46:00,,0000-00-00,0000-00-00
7607521,15351,2023-05-03 15:49:00,,0000-00-00,0000-00-00
7607522,16974,2023-05-03 16:00:00,,0000-00-00,0000-00-00
7607523,10987,2023-05-03 16:00:00,,0000-00-00,0000-00-00
7607524,14252,2023-05-03 16:00:00,,0000-00-00,0000-00-00
7607525,16712,2023-05-03 16:00:00,,0000-00-00,0000-00-00
7607526,378311,2023-05-03 16:01:00,,0000-00-00,0000-00-00
7607527,17309,2023-05-03 16:01:00,,0000-00-00,0000-00-00
7607528,16382,2023-05-03 16:01:00,,0000-00-00,0000-00-00
7607529,38271,2023-05-03 16:02:00,,0000-00-00,0000-00-00
7607530,38271,2023-05-03 16:02:00,,0000-00-00,0000-00-00
7607531,38271,2023-05-03 16:02:00,,0000-00-00,0000-00-00
7607532,11472,2023-05-03 16:02:00,,0000-00-00,0000-00-00
7607533,23814,2023-05-03 16:02:00,,0000-00-00,0000-00-00
7607534,148674,2023-05-03 16:02:00,,0000-00-00,0000-00-00
7607535,16473,2023-05-03 16:02:00,,0000-00-00,0000-00-00
7607536,17143,2023-05-03 16:02:00,,0000-00-00,0000-00-00
7607537,19347,2023-05-03 16:03:00,,0000-00-00,0000-00-00
7607538,15617,2023-05-03 16:03:00,,0000-00-00,0000-00-00
7607539,15167,2023-05-03 16:03:00,,0000-00-00,0000-00-00
7607540,14672,2023-05-03 16:03:00,,0000-00-00,0000-00-00
7607541,13918,2023-05-03 16:03:00,,0000-00-00,0000-00-00
7607542,18627,2023-05-03 16:04:00,,0000-00-00,0000-00-00
7607543,16241,2023-05-03 16:04:00,,0000-00-00,0000-00-00
7607544,13563,2023-05-03 16:05:00,,0000-00-00,0000-00-00
7607545,12664,2023-05-03 16:05:00,,0000-00-00,0000-00-00
7607546,12575,2023-05-03 16:06:00,,0000-00-00,0000-00-00
7607547,91361,2023-05-03 16:07:00,,0000-00-00,0000-00-00
7607548,17542,2023-05-03 16:13:00,,0000-00-00,0000-00-00
7607549,83576,2023-05-03 16:17:00,,0000-00-00,0000-00-00
7607550,145876,2023-05-03 16:18:00,,0000-00-00,0000-00-00
7607551,12591,2023-05-03 16:18:00,,0000-00-00,0000-00-00
7607552,154725,2023-05-03 16:19:00,,0000-00-00,0000-00-00
7607553,52544,2023-05-03 16:19:00,,0000-00-00,0000-00-00
7607554,13821,2023-05-03 17:30:00,,0000-00-00,0000-00-00
7607555,17961,2023-05-03 17:34:00,,0000-00-00,0000-00-00
7607556,186527,2023-05-03 17:39:00,,0000-00-00,0000-00-00
7607557,19637,2023-05-04 06:39:00,,0000-00-00,0000-00-00
7607558,173971,2023-05-04 06:43:00,,0000-00-00,0000-00-00
7607559,19837,2023-05-04 07:08:00,,0000-00-00,0000-00-00
7607560,14873,2023-05-04 07:27:00,,0000-00-00,0000-00-00
7607561,13127,2023-05-04 07:53:00,,0000-00-00,0000-00-00
7607562,148674,2023-05-04 07:57:00,,0000-00-00,0000-00-00
7607563,17542,2023-05-04 08:01:00,,0000-00-00,0000-00-00
7607564,16712,2023-05-04 08:08:00,,0000-00-00,0000-00-00
7607565,15351,2023-05-04 08:09:00,,0000-00-00,0000-00-00
7607566,161735,2023-05-04 08:11:00,,0000-00-00,0000-00-00
7607567,16834,2023-05-04 08:11:00,,0000-00-00,0000-00-00
7607568,11625,2023-05-04 08:12:00,,0000-00-00,0000-00-00
7607569,16382,2023-05-04 08:13:00,,0000-00-00,0000-00-00
7607570,52543,2023-05-04 08:14:00,,0000-00-00,0000-00-00
7607571,142962,2023-05-04 08:16:00,,0000-00-00,0000-00-00
7607572,271943,2023-05-04 08:16:00,,0000-00-00,0000-00-00
